date,order_id,region,channel,segment,product,customer,units,unit_price,discount_rate,revenue,cost,gross_profit,margin,target_revenue
2024-01-12,ORD-00001,Nordeste,Outros,Mid-market,Analytics Core,Lumina Saúde,3,34648.50,0.0632,97389.06,68400.61,28988.46,0.2977,102107.83
2024-01-17,ORD-00002,Centro-Oeste,Parceiros,Enterprise,Enterprise Plus,Horizonte Telecom,1,73646.76,0.1036,68315.63,50556.98,17758.65,0.2600,71773.66
2024-01-11,ORD-00003,Nordeste,Venda direta,Enterprise,Enterprise Pro,Pulsar Tech,1,59755.76,0.0415,56104.71,32689.66,23415.05,0.4173,58945.24
2024-01-24,ORD-00004,Nordeste,Venda direta,SMB,Data Cloud,Pulsar Tech,3,48692.19,0.0449,143963.89,91021.02,52942.87,0.3678,148613.06
2024-01-13,ORD-00005,Sudeste,Digital,Enterprise,Enterprise Pro,Aurora Foods,1,63959.46,0.0553,62861.11,37635.09,25226.01,0.4013,64661.67
2024-01-12,ORD-00006,Sudeste,Outros,Mid-market,Enterprise Pro,Atlas Group,2,62181.39,0.0521,118254.64,70516.39,47738.25,0.4037,123754.17
2024-01-05,ORD-00007,Sudeste,Venda direta,Enterprise,Enterprise Plus,Atlas Group,1,68218.61,0.0471,64820.10,46739.99,18080.11,0.2789,66765.75
2024-01-04,ORD-00008,Nordeste,Outros,Mid-market,Data Cloud,Lumina Saúde,3,47417.54,0.0695,129656.54,82984.41,46672.13,0.3600,136180.88
2024-01-09,ORD-00009,Nordeste,Venda direta,Mid-market,Revenue Starter,Prisma Serviços,2,17520.79,0.0557,33855.79,18550.63,15305.16,0.4521,35048.90
2024-01-24,ORD-00010,Sudeste,Digital,Enterprise,Data Cloud,Aurora Foods,1,46860.06,0.0503,43679.95,27921.26,15758.69,0.3608,45793.49
2024-01-09,ORD-00011,Sudeste,Digital,SMB,Enterprise Pro,Nexo Energia,4,63359.73,0.0582,237028.90,142220.24,94808.66,0.4000,244674.36
2024-01-16,ORD-00012,Centro-Oeste,Venda direta,Mid-market,Revenue Starter,Vértice Logística,3,18208.43,0.0453,53253.58,29795.37,23458.21,0.4405,54634.81
2024-01-15,ORD-00013,Nordeste,Digital,Enterprise,Analytics Core,Aurora Foods,1,35514.53,0.0567,32944.49,22486.32,10458.17,0.3174,34046.56
2024-01-03,ORD-00014,Sudeste,Venda direta,Mid-market,Enterprise Pro,Horizonte Telecom,2,63068.80,0.0597,119923.02,70891.50,49031.52,0.4089,123812.02
2024-01-01,ORD-00015,Centro-Oeste,Venda direta,SMB,Analytics Core,Prisma Serviços,3,36239.07,0.0411,103696.19,72286.67,31409.52,0.3029,106823.30
2024-01-08,ORD-00016,Sudeste,Parceiros,Mid-market,Enterprise Plus,Atlas Group,3,70592.35,0.1138,183579.92,134609.42,48970.50,0.2668,188493.68
2024-01-05,ORD-00017,Nordeste,Parceiros,Enterprise,Enterprise Plus,Orbe Retail,1,73011.61,0.1179,65373.19,48192.12,17181.07,0.2628,67954.52
2024-01-22,ORD-00018,Sudeste,Parceiros,Enterprise,Data Cloud,Atlas Group,1,48328.65,0.1207,42309.43,27786.00,14523.43,0.3433,43730.55
2024-01-13,ORD-00019,Sul,Venda direta,Enterprise,Revenue Starter,Pulsar Tech,1,17963.70,0.0564,17625.66,9813.37,7812.29,0.4432,18642.15
